"",,,,Tanktables,,,1 / 24
"",,,,,,,
"",,,,M.t.s. Texas,,,
"",,,,,,,
"",,,,,,,
"",,,,,,,Europanr.: 7647
"",,,,,,,
"",,,,TANK TABLE BB1,,,
"",,,,,,,
"",,,,,,,
"",0,1,2,3 4 5 6,,7,8 9
"",,,,,,,
0,983,1362,1802,2307 2878 3509 4190,,4929,5706 6484
"",,,,,,,
10,7261,8038,8815,9593 10370 11147 11925,,12702,13480 14258
2  0,15035,15813,16597,17391 18185 18978 19772,,20566,21360 22153
30,22947,23741,24535,25329 26123 26917 27712,,28506,29300 30094
"",,,,,,,
40,30888,31683,32477,33272 34067 34862 35656,,36451,37246 38041
"",,,,,,,
50,38836,39631,40426,41221 42016 42811 43606,,44401,45197 45992
6  0,46787,47583,48378,49173 49969 50764 51560,,52355,53151 53947
70,54742,55538,56334,57130 57925 58721 59517,,60313,61109 61905
80,62701,63497,64293,65089 65885 66681 67478,,68274,69070 69866
90,70663,71459,72255,73052 73848 74645 75441,,76238,77034 77831
100,78627,79424,80221,81017 81814 82611 83408,,84204,85001 85798
110,86595,87392,88189,88986 89783 90580 91377,,92174,92971 93768
120,94565,95362,96159,96956 97754 98551 99348,,100145,100943 101740
130,102537,103335,104132,104929 105727 106524 107322,,108119,108916 109714
140,110511,111309,112106,112904 113702 114499 115297,,116094,116892 117690
150,118487,119285,120083,120880 121678 122476 123274,,124071,124869 125667
160,126465,127263,128061,128858 129656 130454 131252,,132050,132848 133646
170,134444,135242,136039,136837 137635 138433 139231,,140029,140827 141625
180,142423,143221,144019,144817 145615 146414 147212,,148010,148808 149606
190,150404,151202,152000,152798 153596 154394 155192,,155991,156789 157587
200,158385,159183,159981,160779 161577 162375 163174,,163972,164770 165568
210,166366,167164,167962,168761 169559 170357 171155,,171953,172751 173549
220,174347,175146,175944,176742 177540 178338 179136,,179934,180733 181531
230,182329,183127,183925,184723 185521 186319 187118,,187916,188714 189512
240,190310,191108,191906,192705 193503 194301 195099,,195897,196695 197493
250,198292,199090,199888,200686 201484 202282 203080,,203878,204677 205475
260,206273,207071,207869,208667 209465 210264 211062,,211860,212658 213456
270,214254,215052,215850,216649 217447 218245 219043,,219841,220639 221437
280,222236,223034,223832,224630 225428 226226 227024,,227822,228619 229413
290,230207,231002,231796,232590 233384 234178 234973,,235767,236561 237355
300,238149,238944,239738,240532 241326 242120 242915,,243709,244503 245297
310,246091,246886,247680,248474 249268 250063 250857,,251651,252445 253239
320,254034,254828,255622,256416 257210 258005 258799,,259593,260387 261181
330,261976,262770,263564,264358 265152 265947 266741,,267535,268329 269124
340,269918,270712,271506,272300 273095 273889 274683,,275477,276270 277064
350,277858,278652,279446,280240 281033 281827 282621,,283415,284209 285002
360,285796,286590,287384,288178 288971 289765 290559,,291353,292147 292941
370,293734,294528,295322,296116 296910 297703 298497,,299291,300085 300879
380,301673,302466,303260,304054 304848 305642 306435,,307229,308023 308815
390,309605,310396,311186,311976 312766 313556 314347,,315137,315927 316717
400,317508,318298,319088,319878 320668 321459 322249,,323039,323829 324619
410,325410,326200,326991,327782 328572 329363 330153,,330944,331735 332525
420,333316,334106,334897,335688 336478 337269 338059,,338850,339641 340431
430,341219,342004,342790,343575 344360 345145 345930,,346715,347500 348285
440,349071,349856,350641,351426 352201 352945 353694,,354447,355170 355839
"",,,,Tanktables,,,2 / 24
"",,,,,,,
"",,,,M.t.s. Texas,,,
"",,,,,,,
"",,,,,,,
"",,,,,,,Europanr.: 7647
"",,,,,,,
"",,,,TANK TABLE BB1,,,
"",,,,,,,
"",,,,,,,
"",0,1,2,3 4 5 6,,7,8 9
"",,,,,,,
450,356507,357175,357770,358361 358952 359475 359991,,360498,360924 361351
"",,,,,,,
460,361698,362033,362329,362545 362661,,,
4  7  0,,,,,,,
480,,,,,,,
"",,,,,,,
490,,,,,,,
"",,,,,,,
500,,,,,,,
5  1  0,,,,,,,
520,,,,,,,
530,,,,,,,
540,,,,,,,
550,,,,,,,
560,,,,,,,
570,,,,,,,
580,,,,,,,
590,,,,,,,
600,,,,,,,
610,,,,,,,
620,,,,,,,
630,,,,,,,
640,,,,,,,
650,,,,,,,
660,,,,,,,
670,,,,,,,
680,,,,,,,
690,,,,,,,
700,,,,,,,
710,,,,,,,
720,,,,,,,
730,,,,,,,
740,,,,,,,
750,,,,,,,
760,,,,,,,
770,,,,,,,
780,,,,,,,
790,,,,,,,
800,,,,,,,
810,,,,,,,
820,,,,,,,
830,,,,,,,
840,,,,,,,
850,,,,,,,
860,,,,,,,
870,,,,,,,
880,,,,,,,
890,,,,,,,
"",,,,Tanktables,,,3 / 24
"",,,,,,,
"",,,,M.t.s. Texas,,,
"",,,,,,,
"",,,,,,,
"",,,,,,,Europanr.: 7647
"",,,,,,,
"",,,,TANK TABLE SB1,,,
"",,,,,,,
"",,,,,,,
"",0,1,2,3 4 5 6,,7,8 9
"",,,,,,,
0,971,1348,1785,2288 2857 3484 4164,,4901,5676 6451
"",,,,,,,
10,7226,8002,8777,9553 10328 11104 11879,,12655,13431 14207
2  0,14983,15758,16541,17333 18125 18917 19709,,20501,21293 22085
30,22877,23669,24462,25254 26046 26839 27631,,28423,29216 30009
"",,,,,,,
40,30801,31594,32387,33180 33973 34766 35559,,36352,37145 37939
"",,,,,,,
50,38732,39525,40319,41112 41906 42699 43493,,44286,45080 45874
6  0,46668,47461,48255,49049 49843 50637 51431,,52225,53019 53813
70,54607,55402,56196,56990 57784 58579 59373,,60168,60962 61757
80,62551,63346,64140,64935 65730 66524 67319,,68114,68909 69704
90,70498,71293,72088,72883 73678 74473 75269,,76064,76859 77654
100,78449,79245,80040,80835 81631 82426 83221,,84017,84812 85608
110,86403,87199,87994,88790 89586 90381 91177,,91973,92768 93564
120,94360,95156,95952,96747 97543 98339 99135,,99931,100727 101523
130,102319,103115,103911,104708 105504 106300 107096,,107892,108688 109485
140,110281,111077,111873,112670 113466 114262 115059,,115855,116652 117448
150,118244,119041,119837,120634 121430 122227 123023,,123820,124617 125413
160,126210,127006,127803,128600 129396 130193 130990,,131786,132583 133380
170,134176,134973,135770,136567 137363 138160 138957,,139754,140551 141347
180,142144,142941,143738,144535 145332 146129 146925,,147722,148519 149316
190,150113,150910,151707,152504 153301 154098 154895,,155691,156488 157285
200,158082,158879,159676,160473 161270 162067 162864,,163661,164458 165255
210,166052,166849,167646,168443 169240 170037 170834,,171631,172428 173225
220,174022,174819,175616,176413 177210 178006 178803,,179600,180397 181194
230,181991,182788,183585,184382 185179 185976 186773,,187570,188367 189164
240,189961,190758,191555,192352 193149 193946 194743,,195540,196337 197134
250,197931,198728,199525,200322 201119 201916 202713,,203510,204307 205103
260,205900,206697,207494,208291 209088 209885 210682,,211479,212276 213073
270,213870,214667,215464,216261 217058 217855 218652,,219449,220246 221043
280,221840,222637,223434,224231 225028 225825 226622,,227419,228216 229013
290,229810,230607,231403,232200 232997 233785 234570,,235355,236139 236923
300,237707,238491,239275,240059 240843 241627 242410,,243194,243977 244761
310,245544,246327,247110,247893 248676 249459 250242,,251025,251807 252590
320,253372,254154,254937,255719 256501 257283 258064,,258845,259625 260406
330,261186,261966,262747,263527 264307 265087 265866,,266646,267426 268205
340,268985,269764,270544,271323 272102 272881 273660,,274438,275217 275995
350,276773,277551,278329,279107 279885 280663 281440,,282218,282996 283773
360,284550,285328,286105,286882 287659 288436 289212,,289989,290766 291542
370,292319,293095,293871,294647 295424 296200 296975,,297751,298527 299303
380,300078,300854,301629,302404 303180 303955 304730,,305505,306279 307053
390,307824,308595,309366,310136 310907 311678 312448,,313219,313989 314759
400,315530,316300,317070,317840 318609 319379 320149,,320918,321688 322457
410,323227,323984,324738,325492 326247 327001 327755,,328509,329263 330017
420,330771,331525,332278,333032 333785 334539 335292,,336045,336798 337551
430,338302,339049,339796,340543 341291 342038 342784,,343531,344278 345025
440,345771,346518,347264,348010 348746 349452 350160,,350873,351556 352183
"",,,,Tanktables,,,4 / 24
"",,,,,,,
"",,,,M.t.s. Texas,,,
"",,,,,,,
"",,,,,,,
"",,,,,,,Europanr.: 7647
"",,,,,,,
"",,,,TANK TABLE SB1,,,
"",,,,,,,
"",,,,,,,
"",0,1,2,3 4 5 6,,7,8 9
"",,,,,,,
450,352811,353438,353992,354541 355091 355573 356047,,356513,356898 357283
"",,,,,,,
460,357588,357882,358135,358309 358383,,,
4  7  0,,,,,,,
480,,,,,,,
"",,,,,,,
490,,,,,,,
"",,,,,,,
500,,,,,,,
5  1  0,,,,,,,
520,,,,,,,
530,,,,,,,
540,,,,,,,
550,,,,,,,
560,,,,,,,
570,,,,,,,
580,,,,,,,
590,,,,,,,
600,,,,,,,
610,,,,,,,
620,,,,,,,
630,,,,,,,
640,,,,,,,
650,,,,,,,
660,,,,,,,
670,,,,,,,
680,,,,,,,
690,,,,,,,
700,,,,,,,
710,,,,,,,
720,,,,,,,
730,,,,,,,
740,,,,,,,
750,,,,,,,
760,,,,,,,
770,,,,,,,
780,,,,,,,
790,,,,,,,
800,,,,,,,
810,,,,,,,
820,,,,,,,
830,,,,,,,
840,,,,,,,
850,,,,,,,
860,,,,,,,
870,,,,,,,
880,,,,,,,
890,,,,,,,
"",,,,Tanktables,,,5 / 24
"",,,,,,,
"",,,,M.t.s. Texas,,,
"",,,,,,,
"",,,,,,,
"",,,,,,,Europanr.: 7647
"",,,,,,,
"",,,,TANK TABLE BB2,,,
"",,,,,,,
"",,,,,,,
"",0,1,2,3 4 5 6,,7,8 9
"",,,,,,,
0,997,1376,1811,2311 2878 3503 4185,,4931,5714 6498
"",,,,,,,
10,7282,8066,8850,9634 10418 11201 11985,,12769,13553 14337
2  0,15121,15905,16695,17495 18295 19094 19894,,20693,21493 22293
30,23092,23892,24692,25491 26291 27091 27890,,28690,29490 30289
"",,,,,,,
40,31089,31888,32688,33488 34288 35088 35888,,36687,37487 38287
"",,,,,,,
50,39087,39887,40687,41486 42286 43086 43886,,44686,45486 46285
6  0,47085,47885,48685,49485 50285 51084 51884,,52684,53484 54284
70,55084,55884,56683,57483 58283 59083 59883,,60683,61482 62282
80,63082,63882,64682,65482 66281 67081 67881,,68681,69481 70281
90,71080,71880,72680,73480 74280 75080 75879,,76679,77479 78279
100,79079,79879,80678,81478 82278 83078 83878,,84678,85477 86277
110,87077,87877,88677,89477 90276 91076 91876,,92676,93476 94276
120,95076,95875,96675,97475 98275 99075 99875,,100674,101474 102274
130,103074,103874,104674,105473 106273 107073 107873,,108673,109473 110272
140,111072,111872,112672,113472 114272 115071 115871,,116671,117471 118271
150,119071,119870,120670,121470 122270 123070 123870,,124669,125469 126269
160,127069,127869,128669,129468 130268 131068 131868,,132668,133468 134268
170,135067,135867,136667,137467 138267 139067 139866,,140666,141466 142266
180,143066,143866,144665,145465 146265 147065 147865,,148665,149464 150264
190,151064,151864,152664,153464 154263 155063 155863,,156663,157463 158263
200,159062,159862,160662,161462 162262 163062 163861,,164661,165461 166261
210,167061,167861,168660,169460 170260 171060 171860,,172660,173459 174259
220,175059,175859,176659,177459 178259 179058 179858,,180658,181458 182258
230,183058,183857,184657,185457 186257 187057 187857,,188656,189456 190256
240,191056,191856,192656,193455 194255 195055 195855,,196655,197455 198254
250,199054,199854,200654,201454 202254 203053 203853,,204653,205453 206253
260,207053,207852,208652,209452 210252 211052 211852,,212651,213451 214251
270,215051,215851,216651,217451 218250 219050 219850,,220650,221450 222250
280,223049,223849,224649,225449 226249 227049 227848,,228648,229448 230248
290,231048,231848,232647,233447 234247 235047 235847,,236647,237446 238246
300,239046,239846,240646,241446 242245 243045 243845,,244645,245445 246245
310,247044,247844,248644,249444 250244 251044 251843,,252643,253443 254243
320,255043,255843,256643,257442 258242 259042 259842,,260642,261442 262241
330,263041,263841,264641,265441 266241 267040 267840,,268640,269440 270240
340,271040,271839,272639,273439 274239 275039 275838,,276638,277437 278237
350,279036,279836,280635,281435 282234 283033 283833,,284632,285432 286231
360,287031,287830,288630,289429 290228 291028 291827,,292627,293426 294226
370,295025,295824,296624,297423 298223 299022 299822,,300621,301421 302220
380,303019,303819,304618,305418 306217 307017 307816,,308616,309415 310213
390,311009,311805,312600,313396 314192 314988 315784,,316580,317375 318171
400,318967,319763,320559,321355 322150 322946 323742,,324538,325334 326130
410,326926,327722,328518,329314 330110 330907 331703,,332499,333295 334092
420,334888,335684,336480,337277 338073 338869 339665,,340461,341258 342054
430,342848,343638,344429,345220 346011 346801 347592,,348383,349174 349964
440,350755,351546,352337,353127 353908 354659 355411,,356164,356886 357553
"",,,,Tanktables,,,6 / 24
"",,,,,,,
"",,,,M.t.s. Texas,,,
"",,,,,,,
"",,,,,,,
"",,,,,,,Europanr.: 7647
"",,,,,,,
"",,,,TANK TABLE BB2,,,
"",,,,,,,
"",,,,,,,
"",0,1,2,3 4 5 6,,7,8 9
"",,,,,,,
450,358220,358888,359481,360071 360661 361183 361702,,362216,362650 363084
"",,,,,,,
460,363438,363780,364083,364306 364429,,,
4  7  0,,,,,,,
480,,,,,,,
"",,,,,,,
490,,,,,,,
"",,,,,,,
500,,,,,,,
5  1  0,,,,,,,
520,,,,,,,
530,,,,,,,
540,,,,,,,
550,,,,,,,
560,,,,,,,
570,,,,,,,
580,,,,,,,
590,,,,,,,
600,,,,,,,
610,,,,,,,
620,,,,,,,
630,,,,,,,
640,,,,,,,
650,,,,,,,
660,,,,,,,
670,,,,,,,
680,,,,,,,
690,,,,,,,
700,,,,,,,
710,,,,,,,
720,,,,,,,
730,,,,,,,
740,,,,,,,
750,,,,,,,
760,,,,,,,
770,,,,,,,
780,,,,,,,
790,,,,,,,
800,,,,,,,
810,,,,,,,
820,,,,,,,
830,,,,,,,
840,,,,,,,
850,,,,,,,
860,,,,,,,
870,,,,,,,
880,,,,,,,
890,,,,,,,
"",,,,Tanktables,,,7 / 24
"",,,,,,,
"",,,,M.t.s. Texas,,,
"",,,,,,,
"",,,,,,,
"",,,,,,,Europanr.: 7647
"",,,,,,,
"",,,,TANK TABLE SB2,,,
"",,,,,,,
"",,,,,,,
"",0,1,2,3 4 5 6,,7,8 9
"",,,,,,,
0,1002,1383,1818,2320 2887 3514 4197,,4944,5729 6514
"",,,,,,,
10,7299,8084,8869,9654 10439 11224 12009,,12794,13579 14364
2  0,15149,15934,16726,17526 18327 19128 19929,,20729,21530 22331
30,23132,23933,24733,25534 26335 27136 27937,,28737,29538 30339
"",,,,,,,
40,31140,31940,32741,33542 34343 35144 35945,,36746,37547 38348
"",,,,,,,
50,39149,39950,40751,41552 42353 43154 43955,,44756,45557 46358
6  0,47159,47960,48761,49562 50363 51164 51965,,52766,53567 54368
70,55169,55970,56771,57572 58373 59174 59975,,60775,61576 62377
80,63178,63979,64780,65581 66382 67183 67984,,68785,69586 70387
90,71188,71989,72790,73591 74392 75193 75994,,76795,77596 78397
100,79198,79999,80800,81601 82402 83203 84004,,84805,85606 86407
110,87208,88009,88810,89611 90412 91213 92014,,92815,93616 94416
120,95217,96018,96819,97620 98421 99222 100023,,100824,101625 102426
130,103227,104028,104829,105630 106431 107232 108033,,108834,109635 110436
140,111237,112038,112839,113640 114441 115242 116043,,116844,117645 118446
150,119247,120048,120849,121650 122451 123252 124053,,124854,125655 126456
160,127256,128057,128858,129659 130460 131261 132062,,132863,133664 134465
170,135266,136067,136868,137669 138470 139271 140072,,140873,141674 142475
180,143276,144077,144878,145679 146480 147281 148082,,148883,149684 150485
190,151286,152087,152888,153689 154490 155291 156092,,156893,157694 158495
200,159296,160097,160897,161698 162499 163300 164101,,164902,165703 166504
210,167305,168106,168907,169708 170509 171310 172111,,172912,173713 174514
220,175315,176116,176917,177718 178519 179320 180121,,180922,181723 182524
230,183325,184126,184927,185728 186529 187330 188131,,188932,189733 190534
240,191335,192136,192937,193738 194538 195339 196140,,196941,197742 198543
250,199344,200145,200946,201747 202548 203349 204150,,204951,205752 206553
260,207354,208155,208956,209757 210558 211359 212160,,212961,213762 214563
270,215364,216165,216966,217767 218568 219369 220170,,220971,221772 222573
280,223374,224175,224976,225777 226578 227379 228179,,228980,229781 230582
290,231383,232184,232985,233786 234587 235388 236189,,236990,237791 238592
300,239393,240194,240995,241796 242597 243398 244199,,245000,245801 246602
310,247403,248204,249005,249806 250607 251408 252209,,253010,253811 254612
320,255413,256214,257015,257816 258617 259418 260219,,261019,261820 262621
330,263422,264223,265024,265825 266626 267427 268228,,269029,269830 270631
340,271432,272233,273034,273835 274636 275437 276238,,277038,277839 278640
350,279440,280241,281041,281842 282643 283443 284244,,285044,285845 286645
360,287446,288247,289047,289848 290648 291449 292250,,293050,293851 294651
370,295452,296252,297053,297854 298654 299455 300255,,301056,301856 302657
380,303458,304258,305059,305859 306660 307461 308261,,309062,309862 310661
390,311458,312255,313052,313849 314646 315443 316240,,317037,317834 318631
400,319428,320225,321022,321819 322616 323413 324210,,325007,325804 326601
410,327398,328195,328993,329790 330587 331385 332182,,332980,333777 334574
420,335372,336169,336966,337764 338561 339358 340156,,340953,341751 342548
430,343343,344135,344927,345719 346510 347302 348094,,348886,349678 350470
440,351262,352054,352846,353637 354419 355171 355925,,356678,357402 358070
"",,,,Tanktables,,,8 / 24
"",,,,,,,
"",,,,M.t.s. Texas,,,
"",,,,,,,
"",,,,,,,
"",,,,,,,Europanr.: 7647
"",,,,,,,
"",,,,TANK TABLE SB2,,,
"",,,,,,,
"",,,,,,,
"",0,1,2,3 4 5 6,,7,8 9
"",,,,,,,
450,358739,359407,360002,360593 361184 361707 362227,,362742,363177 363612
"",,,,,,,
460,363967,364311,364615,364839 364963,,,
4  7  0,,,,,,,
480,,,,,,,
"",,,,,,,
490,,,,,,,
"",,,,,,,
500,,,,,,,
5  1  0,,,,,,,
520,,,,,,,
530,,,,,,,
540,,,,,,,
550,,,,,,,
560,,,,,,,
570,,,,,,,
580,,,,,,,
590,,,,,,,
600,,,,,,,
610,,,,,,,
620,,,,,,,
630,,,,,,,
640,,,,,,,
650,,,,,,,
660,,,,,,,
670,,,,,,,
680,,,,,,,
690,,,,,,,
700,,,,,,,
710,,,,,,,
720,,,,,,,
730,,,,,,,
740,,,,,,,
750,,,,,,,
760,,,,,,,
770,,,,,,,
780,,,,,,,
790,,,,,,,
800,,,,,,,
810,,,,,,,
820,,,,,,,
830,,,,,,,
840,,,,,,,
850,,,,,,,
860,,,,,,,
870,,,,,,,
880,,,,,,,
890,,,,,,,
